Unnamed: 0,Unnamed: 0.1,French,English
0,0,partie,part
2,2,seulement,only
3,3,police,police
4,4,pensais,thought
6,6,genre,kind
11,11,aucun,no
13,13,eux,them
14,14,chaque,each
15,15,parlé,speak
16,16,arrivé,come
17,17,devrait,should
18,18,bébé,baby
21,21,pendant,while
22,22,revoir,meet again
23,23,place,square
24,24,parle,speak
26,26,savais,knew
27,27,étaient,were
31,31,affaire,case
33,33,type,type
34,34,leurs,their
35,35,donné,given
36,36,train,train
40,41,premier,first
41,42,perdu,lost
43,44,première,first
45,46,sois,be
46,47,tiens,here
47,48,matin,morning
48,49,pardon,sorry
49,50,devant,in front of
52,53,chambre,bedroom
53,54,mis,placed
55,56,aimerais,would like to
58,59,cause,cause
59,60,enfin,finally
61,62,attendez,Wait
62,63,parti,left
64,65,arrêter,Stop
66,67,terre,Earth
67,68,compte,account
68,69,donne,given
70,71,fin,end
71,72,chérie,sweetheart
72,73,gros,large
73,74,plutôt,rather
74,75,aura,will have
76,78,bureau,office
